111327 1800
141225 123030 69422
141154 135446 68641
109427 84467 112699
103065 88296 118112
85904 111226 96965
108938 85543 116171
134880 128985 68990
139675 131040 68912
111327 85670 109299
137244 135444 68727
138782 128730 69001
107927 85859 113687
132251 134609 68938
133546 132101 68852
132733 133790 68842
97614 126613 74719
105206 87289 107330
105190 87985 109284
130717 109172 70443
109273 84645 112797
116934 124656 69027
126528 107159 71654
87254 110605 95523
128308 113708 69911
117209 123900 69009
111761 133021 69626
134524 131791 69007
129768 97009 76359
137834 128952 68915
105910 87657 105693
128491 107008 71748
123286 98944 76125
106431 86209 104919
116680 85619 102506
124514 104325 73171
102670 125980 70537
121108 94866 80123
105060 88160 106190
107175 87002 103084
130043 119045 69452
120350 105959 72083
94785 93403 101657
107097 86837 104239
107832 118321 70845
134531 131198 68935
121731 113678 70280
104395 89116 98945
104349 125303 70651
109879 85957 100461
92772 95475 101946
99238 123345 73276
139359 106298 71901
111646 85562 103735
111000 85754 106620
88248 109294 91084
111196 86552 96860
102824 89930 94652
100565 88451 99473
105351 88882 97534
108483 85870 104552
108250 85913 103519
126456 113612 69930
87848 110059 95166
122870 107909 71173
89012 105805 97469
94412 93571 106887
108163 87487 98656
98415 125528 74452
94475 121159 76260
119078 92822 81840
96380 92594 107201
92797 93917 101049
96501 92834 100955
93992 94533 100011
112587 122354 69873
105178 121785 70465
126106 92919 80630
102778 117800 72899
103281 89529 93982
106104 91916 87230
94317 93925 99328
93485 119817 77630
106201 88425 96330
87884 106530 92887
92808 120315 77144
95293 96925 91976
91552 104519 86006
102989 120189 71693
122063 91686 81684
102749 90362 94489
99725 122165 74080
101652 89806 97783
117542 112709 70370
114267 114542 70983
91904 106063 84287
96286 118530 76484
93629 119457 77050
93853 116966 76893
125967 103572 72353
116438 122480 69442
119537 95739 76447
122169 114802 69513
104563 88246 98408
125542 106390 72007
97660 115407 76801
118267 109442 70706
89703 101922 95991
122582 112954 70075
123084 109408 71066
91314 105642 86524
111462 90651 85810
97223 99319 85946
106822 110322 73604
88392 108916 89922
114577 117774 69645
120097 95139 78388
101359 121443 72451
91109 97883 93491
90506 103050 94137
102033 107669 77443
115913 111815 70421
105593 91065 90511
124830 114664 70008
101744 96469 82612
113373 97820 77025
87538 116090 94529
97354 99887 84621
108390 86733 98137
93954 115608 77355
102300 90747 91693
99373 93434 89769
106368 87531 98282
125022 110112 70078
105669 90189 90769
101230 89391 98056
95699 99615 86935
99030 92520 93613
125659 114659 69909
90626 100730 90545
92755 120674 79195
89300 109087 89469
92992 115767 78658
112047 89509 84260
116335 104610 73703
110738 114367 71823
118525 107517 71369
104688 88985 94589
100324 119746 74548
101907 90028 95799
101641 93697 87910
113125 106515 73293
106315 88587 93430
111594 86958 90719
98094 99392 83524
96798 95381 91585
95217 100368 87556
109019 112082 72721
101681 89714 97937
98557 94873 90909
98016 115154 75025
103139 120823 71286
95003 118809 76114
90277 112734 83712
100486 121621 72471
89093 108005 90090
97073 101497 82019
89473 108489 87660
92569 111389 80738
108570 91168 85625
99597 122764 74616
114831 106654 72277
106442 114092 72662
106735 117453 71533
112284 92124 82366
91587 105641 85260
101442 106239 77981
101806 113318 75525
114922 101939 75187
110432 93216 82285
97527 97735 85012
99801 91421 92678
104808 113259 73081
109125 90487 88557
108594 116792 71463
106551 90908 86761
103703 101113 78880
108060 119264 70622
99058 92230 93418
110488 87126 98114
124548 105704 72378
107512 113124 73460
119883 114916 69619
97837 113942 76635
108295 111951 72794
100368 110506 75770
110232 87426 96413
97668 120913 74670
88687 112577 86227
114676 94779 80387
97502 91522 95664
