6272 119
122839 112341 122675
133539 138385 96587
149503 84673 128413
147947 85012 130029
116892 117844 145668
122752 105822 129513
144863 90441 120943
157922 89897 115418
142865 93562 118977
134559 142173 94856
149285 100791 99437
132437 109206 104413
127047 117306 113910
131519 110988 108087
143320 112110 96184
121231 112447 133975
127641 101214 116861
141612 87057 128150
145009 102867 94695
144049 86275 135972
145446 102210 103607
152039 79983 146232
147059 91383 120394
144335 100289 105122
125761 112681 117483
138365 104704 107051
155073 92577 113242
139707 90919 121821
171124 126848 85916
126969 109207 114876
131994 82839 164412
153352 112228 87300
132920 110489 101537
128288 149778 97529
143288 122121 90887
145023 92989 116560
147976 128921 87935
143791 95656 110778
134444 139619 95714
134338 109430 99309
136950 138993 91906
136350 109317 102537
143255 128222 92017
144948 84002 138066
159582 87630 119943
151216 91989 114442
158274 90503 107802
141754 83530 142460
142930 124122 92219
139780 101282 106265
137770 81796 160767
165358 79209 144759
116324 109641 155629
158721 86180 120160
154504 89787 117101
133136 90977 136684
157038 89999 115251
142901 117345 92719
139254 86394 143835
162713 88109 115339
130075 92849 138175
147854 95911 100092
118519 103256 153583
129824 111507 113469
127510 139212 99653
120348 121241 121995
153696 87664 118580
136128 91037 121810
122457 106431 145697
164443 147833 79534
125115 89722 154890
133569 103030 110317
126148 117192 115795
162992 89606 108643
144069 93244 111117
149824 83368 125416
139266 106704 100650
146695 93279 102943
134029 131361 96278
159546 85737 120467
127888 144957 98231
131988 118254 106597
125176 94105 132334
145479 79431 152875
118968 105867 148189
152713 98262 99533
132973 82127 157395
124243 98387 140865
159845 127387 86092
132191 92446 138734
133669 116942 98459
163972 80716 134131
140728 104899 104986
147271 92042 116903
139614 104910 101654
155520 90110 113797
140119 86673 137259
131571 126242 102808
149579 92865 112754
142328 83507 144050
160994 124485 86239
143057 80653 158127
131421 110190 108655
144864 123696 90149
123278 105270 124608
144821 90033 122721
130047 96410 119470
133168 136636 96864
149661 83731 133161
130786 94129 119083
120153 145310 104698
140743 83872 142733
143909 104837 102415
165267 87516 119423
132672 144813 92524
139029 86432 138286
137946 136426 84888
135326 143297 92431
145100 89252 123603
142648 109721 99226
158060 151270 78362
161816 142249 82406
142201 118133 96227
157968 100926 94655
144637 108948 99044
136971 135884 92094
162266 88262 112524
143126 95998 110606
165430 94003 99243
146548 101736 88974
145857 81161 142317
134473 83872 156046
152302 127238 87678
130813 90492 142376
131760 151822 94910
153348 86270 120493
129743 149786 97294
132359 136121 97396
153240 127832 86011
124667 97495 166182
123382 101060 144916
143453 89153 123833
156721 96596 99494
131999 144528 95219
141074 94490 111344
132003 98921 110437
136042 140289 85981
130319 106752 109072
148437 77486 153339
130371 91805 146513
141387 111817 98702
148279 90142 122196
158924 96960 94695
126199 106268 122672
139961 88561 135755
156099 75256 157589
164484 131160 80515
132068 106356 105952
144411 83429 142214
122927 91603 183253
140652 82095 158095
165975 95186 99042
150336 80268 145205
131812 87929 157120
121255 132396 115422
123507 100097 128244
124916 91010 150958
134761 85157 146480
129498 89023 146630
144500 83342 150848
158130 79330 145647
164501 79728 143428
145470 85356 128891
148455 77926 148064
129461 85046 158107
151346 92833 109018
144837 93156 117857
120613 112746 148075
125474 128007 101553
160335 77455 153231
144467 85848 139327
174203 121780 85894
146405 81800 134578
143166 129218 83097
129552 123518 107573
140032 86674 129785
128802 127177 107254
155811 85840 123614
163614 110641 88809
131568 143289 96361
142420 123120 93292
151902 101616 99327
141428 81585 165836
136483 89383 124165
131974 91749 141347
153210 150031 80409
155713 80349 139732
131074 94979 116195
155347 91686 113331
143291 93412 120949
161301 81190 138375
123337 102181 147449
138681 105229 102744
151973 88504 121382
154423 100521 98057
140632 86133 142685
138864 96016 107707
158653 145313 81260
138013 112381 96287
129788 129463 98189
148093 127685 87375
155709 90779 99745
115800 100459 155662
145759 93617 100559
128334 97053 129620
124726 96551 143075
137677 83651 145829
138997 88293 145102
132216 91389 138029
146590 148043 82212
133481 88504 152974
139533 136386 87070
134918 124870 92634
125181 121012 120559
132710 137850 96619
143634 100062 105653
151258 90155 113583
142873 103275 104711
125633 144891 99081
140099 130398 92575
133143 84024 154724
137146 131488 87964
144855 104795 100215
144678 83239 151536
141334 83098 154352
147646 88571 125662
119777 99406 152640
138852 108760 102107
136906 98083 114651
149887 91489 115569
159085 124286 86396
135334 89148 140251
154412 93467 101234
133969 87149 146744
135435 83335 157272
